,CustomerSAPCode,CustomerName,SiteSAPCode,SiteName,ProductSAPCode,ProductTelRef,ProductName,Timestamp,Received Date,Report Date,Report Time,Oil Age in Hours,Interpretation,FCA Term Found,FCA Fault Code,FCA Service,AN,BN,NA,SI,AL,CR,CU,FE,PB,SN,MO,AG,MN,TI,V,BA,CA,MG,P,B,ZN,NI,LI,K,ZR,CD,S,KV40,KV100,Water KF Oven,Soot,Partical Count 4,Particle Count 6,Particle Count 14,ISO Code (3 figure),Flash FTIR,Diesel % in Oil,BN IP276,Ox Drect Area,Glycol %,PQ Index,Neut No.,Water,PRVOT,Status
count,0.0,21111,0.0,21111,0.0,21111.0,21111,21111,21111,21111,21111.0,3989.0,21108,21086,21086,7080,517.0,1393.0,21063.0,21061.0,21063.0,21061.0,21063.0,21063.0,21059.0,21061.0,21059.0,20543.0,21061.0,21061.0,21061.0,21059.0,21063.0,21063.0,21063.0,21059.0,21063.0,21061.0,21061.0,21063.0,0.0,21059.0,768.0,20463.0,802.0,2732.0,0.0,5807.0,5807.0,5807.0,7448,1789,246.0,794.0,2458.0,2935.0,17910.0,4033.0,19926.0,27.0,21111
unique,,300,,382,,,479,358,308,358,,,2500,30,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,1,,,,,,,,,3
top,,BELL EQUIPMENT UK LTD,,BELL,,,NOT GIVEN,28/04/2022 00:00:00,2022-07-18,2022-04-28,,,Condition satisfactory.,satisfactory,Satisfactory,Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/17/13,N,,,,,,,,,Normal
freq,,5836,,5836,,,2946,251,271,251,,,11979,13752,13771,6444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,1789,,,,,,,,,13341
mean,,,,,,4600184.68116148,,,,,2.448202358959784,693075.7641012785,,,,,2.4798839458413924,7.629002153625269,98.39291648862935,10.835411423958977,3.6404358353510897,0.8494848297801624,16.30486635332099,49.132654417699285,3.6607056365449453,2.2619011442951424,8.596661759817653,0.2469746385630142,1.0351312853140875,0.38549451592991785,0.3006457433170315,6.496015955173561,878.4633622940702,57.41854436689929,453.54564402032,37.85866375421434,361.3295874281916,0.8018660082617161,0.9743459474858744,15.428766082704268,,0.1405099957262928,2872.9231770833335,149.99611005228948,13.64625935162095,349.6727672035139,,32262.189943172034,8801.604787325641,488.51506802135356,,,2.053252032520325,6.026448362720403,17.551615134255492,7.410562180579216,16.437241764377443,0.38404165633523435,0.14210579142828467,443.6296296296296,
std,,,,,,2541518.2813959266,,,,,3.1135247616606976,43347940.89672004,,,,,0.7340695648507805,2.031237433735407,577.8437030688278,35.90808764494692,20.178998521513936,3.2394324279701783,83.65899503888559,126.81207826324257,24.074139169362965,17.020549014915602,56.754702148304126,0.600031214656618,2.524515283197852,1.8149474153132275,0.4718752479866213,66.36405669827693,1669.2099120554217,203.85145796550012,414.879979919499,71.60936882307078,497.37157706952536,10.621186822963534,5.716493560607131,114.26683417882002,,0.3984495382189331,1659.9216096802597,141.795048730588,2.180315345039293,1838.9497429923179,,48680.73504220796,21152.420048276348,2329.106482308256,,,0.29947163249516867,3.05636923792195,9.059092862265278,17.0840006610386,51.468110353580265,0.9299040317070113,0.5574891389748002,376.97532546759084,
min,,,,,,570480.0,,,,,0.0,0.0,,,,,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,1.3,4.9,10.0,,42.0,23.0,2.0,,,2.0,0.3,1.23,0.0,10.0,0.01,0.1,130.0,
25%,,,,,,3033108.0,,,,,1.0,500.0,,,,,2.0,6.6,0.9,1.6,0.2,0.1,0.4,2.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5.8,0.3,207.0,1.6,5.8,0.0,0.0,0.2,,0.0,1811.75,47.5,13.4,23.0,,3184.5,495.0,26.0,,,2.0,4.0,11.825,0.0,10.0,0.06,0.1,157.5,
50%,,,,,,4877541.0,,,,,1.0,853.0,,,,,2.5,7.3,3.1,4.8,0.8,0.3,1.8,12.0,0.4,0.3,0.3,0.0,0.3,0.1,0.0,0.1,42.0,2.4,316.0,7.1,30.0,0.2,0.2,1.1,,0.0,2423.0,94.5,14.2,43.0,,10021.0,1625.0,73.0,,,2.0,5.3,17.689999999999998,0.0,10.0,0.16,0.1,277.0,
75%,,,,,,5467898.0,,,,,3.0,1900.0,,,,,3.0,9.1,10.0,10.0,2.8,0.8,8.1,47.0,1.3,1.1,1.2,0.0,1.0,0.4,0.5,0.4,1348.0,11.0,631.0,46.0,519.0,0.5,0.8,3.2,,0.1,3909.75,211.14999999999998,14.9,80.0,,38293.5,6220.0,257.5,,,2.0,8.1,21.2175,0.0,10.0,0.49,0.1,591.0,
max,,,,,,30188519.0,,,,,105.0,2737795460.0,,,,,6.0,16.2,5732.0,1777.0,500.0,100.0,2000.0,2102.0,1000.0,500.0,2000.0,17.0,61.0,146.0,8.5,1000.0,31774.0,2105.0,2000.0,1923.0,1865.0,500.0,240.0,5554.0,,26.0,12303.0,1473.0,22.8,25000.0,,490059.0,317914.0,75291.0,,,5.8,25.3,211.81,66.0,4214.0,39.78,10.0,1357.0,
